Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
seachem-stability,,,,,,,,,250ml,400,shopify,7,deny,manual,17.99,'000116008211,8.59
seachem-prime,,,,,,,,,250ml,400,shopify,0,deny,manual,17.99,'000116008259,9.39
seachem-matrix,Seachem Matrix,,Seachem,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,500ml,400,shopify,4,deny,manual,13.99,'000116011303,6.89
seachem-stability,,,,,,,,,500ml,700,shopify,8,deny,manual,30.99,'000116012300,16.29
seachem-stability,Seachem Stability,,Seachem,,Additifs,"Eau Douce, Eau Salée",TRUE,Size,100ml,200,shopify,9,deny,manual,8.99,'000116012508,4.24
seachem-purigen,,,,,,,,,500ml,600,shopify,1,deny,manual,52.99,'000116016308,30.5
seachem-purigen,Seachem Purigen,,Seachem,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,100ml,0,shopify,5,deny,manual,18.99,'000116016506,10.12
seachem-purigen,,,,,,,,,250ml,400,shopify,1,deny,manual,30.99,'000116016605,16.92
seachem-purigen,,,,,,,,,1L,1000,shopify,1,deny,manual,95.99,'000116016704,61.45
seachem-flourish-phosphorus,,,,,,,,,500ml,700,shopify,2,deny,manual,22.99,'000116019309,11.31
seachem-algae-pad,Seachem Algae Pad,,Seachem,,Entretien,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,1,deny,manual,13.99,'000116032032,7.89
seachem-grattoir,Seachem Grattoir,,Seachem,,Entretien,"Eau Douce, Eau Salée",TRUE,Size,"12""",0,shopify,2,deny,manual,26.99,'000116032070,17.76
seachem-grattoir,,,,,,,,,"18""",0,shopify,1,deny,manual,39.99,'000116032087,25.67
seachem-prime,,,,,,,,,500ml,700,shopify,4,deny,manual,30.99,'000116043304,17.85
seachem-prime,Seachem Prime,,Seachem,,Additifs,Eau Douce,TRUE,Size,100ml,200,shopify,1,deny,manual,8.99,'000116043502,4.63
seachem-equilibrium,,,,,,,,,600g,600,shopify,3,deny,manual,24.99,'000116044301,13.13
seachem-equilibrium,Seachem Equilibrium,,Seachem,,Additifs,Eau Douce,TRUE,Size,300g,300,shopify,1,deny,manual,14.99,'000116044608,7.59
seachem-flourish-excel,,,,,,,,,500ml,700,shopify,6,deny,manual,22.99,'000116045308,11.31
seachem-flourish-excel,Seachem Flourish Excel,,Seachem,,Additifs,Eau Douce,TRUE,Size,250ml,400,shopify,4,deny,manual,13.99,'000116045605,7.07
seachem-flourish-potassium,,,,,,,,,500ml,700,shopify,2,deny,manual,22.99,'000116046305,11.31
seachem-flourish-potassium,Seachem Flourish Potassium,,Seachem,,Additifs,Eau Douce,TRUE,Size,250ml,400,shopify,3,deny,manual,13.99,'000116046602,7.07
seachem-flourish-iron,,,,,,,,,500ml,700,shopify,5,deny,manual,22.99,'000116047302,11.31
seachem-flourish-iron,Seachem Flourish Iron,,Seachem,,Additifs,Eau Douce,TRUE,Size,250ml,400,shopify,1,deny,manual,13.99,'000116047609,7.07
seachem-flourite,,,,,,,,,7kg,0,shopify,2,deny,manual,39.99,'000116049504,20.24
seachem-flourish,,,,,,,,,500ml,700,shopify,12,deny,manual,22.99,'000116051309,11.31
seachem-flourish-nitrogen,,,,,,,,,500ml,0,shopify,2,deny,manual,22.99,'000116062305,11.31
seachem-filtreur-tidal,Seachem Filtreur Tidal,,Seachem,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,35,1000,shopify,4,deny,manual,62.99,'000116065818,41.69
seachem-flourish-trace,,,,,,,,,500ml,700,shopify,2,deny,manual,22.99,'000116074308,11.31
seachem-flourish-trace,Seachem Flourish Trace,,Seachem,,Additifs,Eau Douce,TRUE,Size,250ml,400,shopify,3,deny,manual,13.99,'000116074605,7.07
seachem-flourish-advance,,,,,,,,,500ml,700,shopify,2,deny,manual,26.99,'000116123303,13.55
seachem-flourish-advance,Seachem Flourish Advance,,Seachem,,Additifs,Eau Douce,TRUE,Size,250ml,400,shopify,3,deny,manual,16.99,'000116123600,8.49
seachem-flourite-black,Seachem Flourite Black,,Seachem,,Substrats,Eau Douce,TRUE,Size,3.5kg,0,shopify,0,deny,manual,25.99,'000116372305,13.34
seachem-flourite-black,,,,,,,,,7kg,0,shopify,0,deny,manual,39.99,'000116372503,23.21
aquavitro-double-curved-shears,Aquavitro Double Curved Shears,,Aquavitro,,Entretien,Eau Douce,TRUE,Title,Default Title,0,shopify,1,deny,manual,26.99,'000116768207,14.26
aquavitro-fine-tip-forceps,Aquavitro Needle Tip Straight Forceps,,Aquavitro,,Entretien,"Eau Douce, Eau Salée",TRUE,Title,Default Title,300,shopify,1,deny,manual,21.99,'000116768603,10.73
caribsea-moonlight-sand,,,,,,,,,20 lbs,9071.8474,shopify,1,deny,manual,39.99,'008479008206,21.19
danner-supreme-oxy-flo-pompe-a-air,Danner Supreme Oxy Flo Pompe à Air,,Danner,,Pompe,"Eau Douce, Eau Salée",TRUE,Size,AP-3,0,shopify,0,deny,manual,28.99,'025033064034,18.51
danner-supreme-oxy-flo-pompe-a-air,,,,,,,,,AP-4,0,shopify,1,deny,manual,45.99,'025033064041,30.58
python-air-line-tubing-10ft,Python Air Line Tubing 10ft,,Python,,Misc,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,26,deny,manual,3.99,'094036010164,1.67
python-syphon,Python Siphon,,Python,,Entretien,"Eau Douce, Eau Salée",TRUE,Size,Small,0,shopify,2,deny,manual,14.99,'094036121631,7.49
python-syphon-avec-squeeze,Python Syphon avec Squeeze,,Python,,Entretien,"Eau Douce, Eau Salée",TRUE,Size,Medium,0,shopify,1,deny,manual,26.99,'094036162108,18.48
python-syphon-avec-squeeze,,,,,,,,,Large,0,shopify,1,deny,manual,30.99,'094036162160,19.9
brightwell-quikcycl,Brightwell QuikCycl,,Brightwell,,Additifs,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,10,deny,manual,7.99,'096647000473,4.38
aquario-neo-co2-diffuser-tiny,Aquario Neo Co2 Diffuser Tiny,,Aquario,,CO2,Eau Douce,TRUE,Title,Default Title,0,shopify,6,deny,manual,22.99,'2846727870537,12
api-sel-daquarium,API Sel d'aquarium,,API,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Water Treatments,Traitement,Eau Douce,TRUE,Title,Default Title,1000,shopify,2,deny,manual,13.99,'317163021064,6.64
api-melafix,,,,,,,,,473 ml,0,shopify,1,deny,manual,21.99,'317163310113,13.6
eheim-torf-peat-pellets,Eheim Torf Peat Pellets,,Eheim,,Filtration,Eau Douce,TRUE,Title,Default Title,0,shopify,2,deny,manual,21.99,'4011708250983,13.2
rowa-phos,,,,,,,,,1kg,1000,shopify,1,deny,manual,73.99,'4032974404108,39.59
fauna-marin-food-energizer,Fauna Marin Food Energizer,,Fauna Marin,,Nourriture,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,5,deny,manual,26.99,'4260119450387,18.89
fauna-marin-min-s,Fauna Marin Min S,,Fauna Marin,,Nourriture,Eau Salée,TRUE,Size,100 ml,200,shopify,2,deny,manual,31.99,'4260119450394,22.39
fauna-marin-min-s,,,,,,,,,250 ml,400,shopify,0,deny,manual,52.99,'4260119450400,37.09
fauna-marin-min-s,,,,,,,,,500 ml,700,shopify,2,deny,manual,79.99,'4260119450417,55.99
amin,Fauna Marin AMIN,,Fauna Marin,,Food,Eau Salée,TRUE,Size,250 ml,400,shopify,0,deny,manual,52.99,'4260119450479,37.09
amin,,,,,,,,,500 ml,700,shopify,0,deny,manual,79.99,'4260119450486,55.99
bacto-energy,Fauna Marin Bacto Energy,,Fauna Marin,,Filtration,Eau Salée,TRUE,Size,100 ml,0,shopify,0,deny,manual,31.99,'4260119450530,22.39
bacto-energy,,,,,,,,,250 ml,400,shopify,0,deny,manual,52.99,'4260119450547,37.09
fauna-marin-organic,Fauna Marin Organic,,Fauna Marin,,Additifs,Eau Salée,TRUE,Size,250 ml,400,shopify,0,deny,manual,27.99,'4260119450578,19.59
fauna-marin-organic,,,,,,,,,500 ml,700,shopify,0,deny,manual,52.99,'4260119450585,37.09
fauna-marin-power-phos,Fauna Marin Power Phos,,Fauna Marin,,Filtration,Eau Salée,TRUE,Size,500 ml,0,shopify,0,deny,manual,30.99,'4260119450646,21.69
fauna-marin-power-phos,,,,,,,,,1000 ml,200,shopify,4,deny,manual,42.99,'4260119450653,30.09
fauna-marin-phos-004,Fauna Marin Phos 004,,Fauna Marin,,Filtration,Eau Salée,TRUE,Size,500 ml,1000,shopify,0,deny,manual,41.99,'4260119450684,29.39
fauna-marin-phos-004,,,,,,,,,1 L,2000,shopify,0,deny,manual,71.99,'4260119450691,50.39
fauna-marin-balling-trace-1,Fauna Marin Balling Trace 1,,Fauna Marin,,Additifs,Eau Salée,TRUE,Size,250 ml,400,shopify,2,deny,manual,20.99,'4260119450912,14.69
fauna-marin-balling-trace-2,Fauna Marin Balling Trace 2,,Fauna Marin,,Additifs,Eau Salée,TRUE,Size,250 ml,400,shopify,2,deny,manual,20.99,'4260119450929,14.69
fauna-marin-balling-trace-3,Fauna Marin Balling Trace 3,,Fauna Marin,,Additifs,Eau Salée,TRUE,Size,250 ml,400,shopify,1,deny,manual,20.99,'4260119450936,14.69
fauna-marin-balling-trace-1,,,,,,,,,500 ml,700,shopify,1,deny,manual,31.99,'4260119450943,22.39
fauna-marin-balling-trace-2,,,,,,,,,500 ml,700,shopify,1,deny,manual,31.99,'4260119450950,22.39
fauna-marin-balling-trace-3,,,,,,,,,500 ml,700,shopify,0,deny,manual,31.99,'4260119450967,22.39
fauna-marin-coral-sprint,Fauna Marin Coral Sprint,,Fauna Marin,,Nourriture,Eau Salée,FALSE,Size,100 ml,0,shopify,0,deny,manual,36.99,'4260119451001,25.89
fauna-marin-coral-sprint,,,,,,,,,250 ml,0,shopify,0,deny,manual,67.99,'4260119451018,47.59
fauna-marin-dino-x,Fauna Marin Dino X,,Fauna Marin,,Traitement,Eau Salée,TRUE,Size,250 ml,400,shopify,0,deny,manual,41.99,'4260119451094,29.39
fauna-marin-dino-x,,,,,,,,,500 ml,700,shopify,0,deny,manual,69.99,'4260119451100,48.99
fauna-marin-balling-kit-alkalinite,,,,,,,,,4 kg,4000,shopify,3,deny,manual,69.99,'4260119451209,48.99
fauna-marin-the-dip,Fauna Marin The Dip,,Fauna Marin,,Traitement,Eau Salée,TRUE,Size,250ml,0,shopify,2,deny,manual,34.99,'4260119452091,24.49
fauna-marin-coral-dust,Fauna Marin Coral Dust,,Fauna Marin,,Nourriture,Eau Salée,TRUE,Size,100 ml,0,shopify,1,deny,manual,32.99,'4260119452558,23.09
fauna-marin-elements-de-couleur-bleu-violet,Fauna Marin Élement de Couleur Bleu Violet,,AquaZen,,Additifs,Eau Salée,TRUE,Size,250 ml,400,shopify,2,deny,manual,31.99,'4260119452602,
fauna-marin-element-de-couleur-vert-bleu,Fauna Marin Élement de Couleur Vert,,Fauna Marin,,Additifs,Eau Salée,TRUE,Size,250 ml,400,shopify,2,deny,manual,31.99,'4260119452619,22.39
fauna-marin-element-de-couleur-rouge-mauve,Fauna Marin Élement de Couleur Rouge Violet,,Fauna Marin,,Additifs,Eau Salée,TRUE,Size,250 ml,400,shopify,3,deny,manual,31.99,'4260119452626,22.39
bacto-blend,Fauna Marin Bacto Reef Blend,,Fauna Marin,,Filtration,Eau Salée,TRUE,Size,250 ml,400,shopify,2,deny,manual,35.99,'4260119452633,25.19
bacto-blend,,,,,,,,,500 ml,700,shopify,2,deny,manual,55.99,'4260119452640,39.19
fauna-marin-coral-vitality,Fauna Marin Coral Vitality,,Fauna Marin,,Additifs,Eau Salée,TRUE,Title,Default Title,0,shopify,1,deny,manual,54.99,'4260119452749,38.49
fauna-marin-soft-multi-mix,Fauna Marin Soft Multi Mix,,Fauna Marin,,Nourriture,Eau Salée,TRUE,Size,100 ml,0,shopify,3,deny,manual,23.99,'4260119452862,16.79
fauna-marin-carb-l,Fauna Marin Carb L,,Fauna Marin,,Filtration,Eau Salée,FALSE,Size,1000 ml,400,shopify,0,deny,manual,26.99,'4260119452947,18.89
bacto-balls,Fauna Marin Bacto Balls,,Fauna Marin,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,100 ml,0,shopify,2,deny,manual,29.99,'4260119453401,20.99
bacto-balls,,,,,,,,,250 ml,0,shopify,2,deny,manual,55.99,'4260119453418,39.19
fauna-marin-balling-kit-alkalinite,,,,,,,,,2 kg,2000,shopify,3,deny,manual,42.99,'4260119453548,30.09
fauna-marin-balling-light-magnesium,,,,,,,,,2 kg,2000,shopify,1,deny,manual,42.99,'4260119453562,30.09
fauna-marin-rebiotic,Fauna Marin ReBiotic,,Fauna Marin,,Traitement,Eau Salée,TRUE,Size,100 ml,0,shopify,0,deny,manual,44.99,'4260119454408,31.49
aefw-x,Fauna Marin AEFW X,,Fauna Marin,,Traitement,Eau Salée,TRUE,Size,500 ml,700,shopify,3,deny,manual,52.99,'4260119458314,48.99
aefw-x,,,,,,,,,1 L,1300,shopify,1,deny,manual,93.99,'4260119458321,87.49
fauna-marin-rtn-stn-x,Fauna Marin RTN/STN X,,Fauna Marin,,Traitement,Eau Salée,FALSE,Size,500 ml,700,shopify,0,deny,manual,69.99,'4260119458352,48.99
fauna-marin-rtn-stn-x,,,,,,,,,1 L,1300,shopify,0,deny,manual,124.99,'4260119458369,64.99
fauna-marin-ready2reef,,,,,,,,,500 ml,700,shopify,6,deny,manual,31.99,'4260119459618,22.39
ista-thermometre-digital-twin-display,ISTA Thermomètre Digital Twin Display,,ISTA,,Chauffe-Eau,Eau Douce,FALSE,Title,Default Title,0,shopify,0,deny,manual,17.99,'4719859034055,9.93
seapora-rouleau-de-soie-filtrante,Seapora Rouleau de Soie Filtrante,,Seapora,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,10 pieds carré,200,shopify,4,deny,manual,11.99,'622841040405,5.86
seapora-rouleau-de-soie-filtrante,,,,,,,,,20 pieds carré,200,shopify,3,deny,manual,18.99,'622841040412,10.86
seapora-poly-pad,Seapora Poly Pad,,Seapora,,Filtration,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,0,deny,manual,5.99,'628742020003,2.77
seapora-carbon-pad,Seapora Carbon Pad,,Seapora,,Filtration,"Eau Douce, Eau Salée",TRUE,Title,Default Title,200,shopify,1,deny,manual,11.99,'628742020010,6.07
seapora-phos-pad,Seapora Phos Pad,,Seapora,,Filtration,"Eau Douce, Eau Salée",TRUE,Title,Default Title,200,shopify,4,deny,manual,12.99,'628742020034,6.86
seapora-sac-de-media-filtrant,,,,,,,,,XL: 12 x 8,0,shopify,10,deny,manual,7.99,'628742020065,2.43
seapora-sac-de-media-filtrant,,,,,,,,,L: 8 x 6,0,shopify,6,deny,manual,5.99,'628742020072,1.82
seapora-sac-de-media-filtrant,Seapora Sac de Média Filtrant,,Seapora,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,S: 5 x 3,0,shopify,5,deny,manual,3.99,'628742020089,1.35
filet-pour-poisson-epais,,,,,,,,,5'',0,shopify,1,deny,manual,2.99,'628742020171,1.81
filet-pour-poisson-epais,,,,,,,,,8'',0,shopify,0,deny,manual,4.99,'628742020201,2.69
filet-pour-poisson-epais,Filet Épais pour Poisson,,Underwater Treasure,,Misc,"Eau Douce, Eau Salée",TRUE,Size,3'',0,shopify,1,deny,manual,2.99,'628742020249,1.38
thermometre-en-verre,Thermomètre en Verre,,Underwater Treasure,,Chauffe-Eau,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,3,deny,manual,3.99,'628742021000,1.76
polyp-lab-genesis-rock-avec-booster,Polyp Lab Genesis Rock avec Booster,,Polyp Lab,,Filtration,"Eau Douce, Eau Salée",TRUE,Title,Default Title,500,shopify,2,deny,manual,56.99,'644216511723,37.7
aquaillumination-pompe-nero-5,AquaIllumination Pompe Nero 5,,AquaIllumination,,Pompe,"Eau Douce, Eau Salée",TRUE,Title,Default Title,1000,shopify,2,deny,manual,334.99,'653341188229,217.25
polyp-lab-polyp-booster,Polyp Lab Polyp Booster,,Polyp Lab,,Nourriture,Eau Salée,TRUE,Title,Default Title,0,shopify,1,deny,manual,29.99,'696859301889,19.6
chemiclean,Chemi clean,,Boyd Entreprises,,Traitement,Eau Salée,TRUE,Title,Default Title,0,shopify,0,deny,manual,24.99,'719958167146,13.98
chemi-pure-blue,Chemi-Pure Blue,,Boyd Entreprises,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,156g,0,shopify,0,deny,manual,16.99,'719958167535,9.7
chemi-pure-blue,,,,,,,,,5 Nano Bag,0,shopify,1,deny,manual,19.99,'719958167542,10.98
eheim-chauffe-eau-thermocontrol,,,,,,,,,150 W,400,shopify,0,deny,manual,39.99,'72063613,27.3
eheim-chauffe-eau-thermocontrol,,,,,,,,,100 W,400,shopify,0,deny,manual,38.99,'720686361362,27.3
eheim-chauffe-eau-thermocontrol,,,,,,,,,300 W,400,shopify,0,deny,manual,46.99,'720686361591,33.67
red-sea-foundation-a-calcium,Red Sea Foundation A Calcium +,,Red Sea,,Additifs,Eau Salée,TRUE,Size,500ml,700,shopify,1,deny,manual,28.99,'730773220144,16.52
red-sea-foundation-c-magnesium,Red Sea Foundation C Magnésium+,,Red Sea,,Additifs,Eau Salée,TRUE,Size,500ml,700,shopify,0,deny,manual,28.99,'730773220335,16.52
red-sea-foundation-c-magnesium,,,,,,,,,1L,1300,shopify,0,deny,manual,40.99,'730773220342,23.36
red-sea-foundation-c-magnesium-1kg,Red Sea Foundation C Magnésium+ 1kg,,Red Sea,,Additifs,Eau Salée,TRUE,Title,Default Title,1000,shopify,1,deny,manual,45.99,'730773220373,26.21
red-sea-no3-po4-x,,,,,,,,,1L,1300,shopify,3,deny,manual,50.99,'730773222049,29.06
red-sea-aiptasia-x,Red Sea Aiptasia X,,Red Sea,,Traitement,Eau Salée,TRUE,Title,Default Title,0,shopify,3,deny,manual,29.99,'730773222315,16.81
red-sea-reef-spec-carbon,Red Sea Reef Spec Carbon,,Red Sea,,Filtration,"Eau Douce, Eau Salée",TRUE,Size,1000ml,500,shopify,0,deny,manual,33.99,'730773374106,19.37
red-sea-reef-spec-carbon,,,,,,,,,2000ml,1000,shopify,0,deny,manual,55.99,'730773374205,31.91
red-sea-filter-bag-100-micron,Red Sea Filter Bag 100 Micron,,Red Sea,,Filtration,Eau Salée,TRUE,Title,Default Title,0,shopify,0,deny,manual,15.99,'730773421954,10.71
red-sea-filter-bag-225-microns,Red Sea Filter Bag 225 Microns,,Red Sea,,Filtration,Eau Salée,TRUE,Title,Default Title,0,shopify,3,deny,manual,15.99,'730773421961,10.71
revive-dip,ReVive Dip,,Two Little Fishies,,Traitement,Eau Salée,TRUE,Title,Default Title,400,shopify,0,deny,manual,15.99,'748172422120,9.46
