Handle,Title,Vendor,Option1 Value,Variant Grams,Variant Price,Variant Compare At Price,Variant Barcode,Cost per item
Aquario Neo soil Plant 3L,Aquario Neo Soil Plant Brown,Aquario,3 L,0,27.99,,3.2267E+12,
Aquario Neo soil Powder 3L,Aquario Neo Soil Plant Powder,Aquario,3 L,0,33.99,,8.8097E+12,
Aquario Neo soil Plant 8L,,,8 L,0,73.99,,8.8097E+12,
Zoo Med Shrimp Food,"Zoo Med Aquatic Shrimp, Crab & Lobster Food - 2.5 oz",AquaZen,Default Title,0,5.99,,097612400182,2.46
Neo Mixer 13mm,Aquario Neo Mixer,Aquario,M 13mm,0,38.99,,8.8097E+12,19
Neo Mixer 17mm,,,L 17mm,0,38.99,,8.8097E+12,19
Oase HeatUp 400,OASE HeatUp 400,Oase,Default Title,0,83.99,,7.0676E+11,49
Oase HeatUp 300,OASE HeatUp 300,Oase,Default Title,0,75.99,,7.06759E+11,45
Oase HeatUp 200,OASE HeatUp 200,Oase,Default Title,0,63.99,,7.06759E+11,37
Oase HeatUp 150,OASE HeatUp 150,Oase,Default Title,0,59.99,,7.06759E+11,35
Oase Biomaster Thermo 850,OASE BioMaster Thermo 850,Oase,Default Title,0,651.99,,7.0676E+11,385
Oase Biomaster Thermo 600,OASE BioMaster Thermo 600,Oase,Default Title,0,560.99,,7.0676E+11,335
Oase Biomaster Thermo 350,OASE BioMaster Thermo 350,Oase,Default Title,0,447.99,,7.0676E+11,262
Oase Biomaster Thermo 250,Oase BioMaster Thermo 250,Oase,Default Title,0,387.99,,7.0676E+11,227
Neo bag Carbon,Aquario Neo Bag Carbon,Aquario,Default Title,0,15.99,,8.8097E+12,8
Neo Bag Zeolite,Aquario Neo Bag Zeolite,Aquario,Default Title,0,18.99,,8.8097E+12,9.5
Neo Bag Plus,Aquario Neo Bag Plus,Aquario,Default Title,0,19.99,,8.8097E+12,10
Neo Bag Minus,Aquario Neo Bag Minus,Aquario,Default Title,0,18.99,,8.8097E+12,9.5
Neo Black 300ml,Aquario Neo Black,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo Black 1L,,,1000 ml,0,36.99,,8.8097E+12,
Neo Clean 300ml,Aquario Neo Clean,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo Clean1L,,,1000 ml,0,36.99,,8.8097E+12,
Neo Booster Tropical 300ml,Aquario Neo Booster Tropical,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo Booster Tropical 1L,,,1000 ml,0,36.99,,8.8097E+12,
Neo Booster Plant 300ml,Aquario Neo Booster Plants,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo Guard 300ml,Aquario Neo Guard,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo Guard 1L,,,1000 ml,0,36.99,,8.8097E+12,
Neo Essence 300ml,Aquario Neo Essence,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo Essence 1L,,,1000 ml,0,36.99,,8.8097E+12,
Neo V 300ml,Aquario Neo V,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo V 1L,,,1000 ml,0,36.99,,8.8097E+12,
Neo C 300ml,Aquario Neo C,Aquario,300 ml,0,14.99,,8.8097E+12,
Neo Skimmer V2 13mm,Aquario Neo Skimmer V2,Aquario,M (12/16),36.2873896,19.99,,8.8097E+12,
Neo Skimmer V2 17mm,,,L (16/22),0,19.99,,8.8097E+12,
