Handle,Vendor,Variant Price,Variant Barcode,Cost per item,Supplier
aquario-neo-co2-diffuser-tiny,Aquario,22.99,'2846727870537,12
api-melafix,,21.99,'317163310113,13.6
python-air-line-tubing-10ft,Python,3.99,'094036010164,1.67
eheim-torf-peat-pellets,Eheim,21.99,'4011708250983,13.2
chemi-pure-blue,Boyd Entreprises,16.99,'719958167535,9.7
chemi-pure-blue,,19.99,'719958167542,10.98
danner-supreme-oxy-flo-pompe-a-air,Danner,28.99,'025033064034,18.51
danner-supreme-oxy-flo-pompe-a-air,,45.99,'025033064041,30.58
fauna-marin-the-dip,Fauna Marin,34.99,'4260119452091,24.49
python-syphon-avec-squeeze,Python,26.99,'094036162108,18.48
python-syphon-avec-squeeze,,30.99,'094036162160,19.9
python-syphon,Python,14.99,'094036121631,7.49
seachem-flourite,,39.99,'000116049504,20.24
seachem-flourite-black,Seachem,25.99,'000116372305,13.34
seachem-flourite-black,,39.99,'000116372503,23.21
aquavitro-fine-tip-forceps,Aquavitro,21.99,'000116768603,10.73
aquavitro-double-curved-shears,Aquavitro,26.99,'000116768207,14.26
seachem-flourish-nitrogen,,22.99,'000116062305,11.31
brightwell-lugols,Brightwell,23.99,'810086010349,15.5
brightwell-neophos,Brightwell,10.99,'810086016273,6.73
brightwell-neophos,,15.99,'810086016280,10.31
brightwell-neonitro,Brightwell,10.99,'810086016242,6.73
brightwell-neonitro,,15.99,'810086016259,10.31
brightwell-razor,Brightwell,14.99,'810086019014,9.58
brightwell-quikcycl,Brightwell,7.99,'096647000473,4.38
brightwell-microbacter-7,Brightwell,14.99,'810086012190,9.65
brightwell-microbacter-7,,26.99,'810086012206,17.54
brightwell-microbacter-clean,Brightwell,15.99,'810086017799,10.35
brightwell-microbacter-clean,,27.99,'810086017805,18.6
brightwell-microbacter-start-xlm,Brightwell,56.99,'810086019526,37.86
brightwell-restor,Brightwell,26.99,'810086010547,17.54
brightwell-frag-recover,Brightwell,14.99,'810086019434,8.22
brightwell-frag-recover,,22.99,'810086019441,14.71
brightwell-fish-recover-m,Brightwell,17.99,'810086019175,7.27
brightwell-fish-recover-m,,23.99,'810086019182,12.99
thermometre-en-verre,Underwater Treasure,3.99,'628742021000,1.76
filet-pour-poisson-epais,Underwater Treasure,2.99,'628742020249,1.38
filet-pour-poisson-epais,,2.99,'628742020171,1.81
filet-pour-poisson-epais,,4.99,'628742020201,2.69
revive-dip,Two Little Fishies,15.99,'748172422120,9.46
epoxy-aquaristik,Two Little Fishies,18.99,'748172440629,11.29
epoxy-aquaristik,,18.99,'748172442005,11.29
two-little-fishies-accurasea,Two Little Fishies,16.99,'748172507001,9.63
two-little-fishies-acropower,Two Little Fishies,19.99,'748172500552,10.94
two-little-fishies-acropower,,29.99,'748172500569,17.13
two-little-fishies-acropower,,46.99,'748172500576,27.51
sicce-whale,,182.99,'8011469957103,114.47
sicce-voyager,,81.99,'8011469998205,52.65
sicce-voyager-nano,,55.99,'8011469959329,31.05
siccec-syncra-silent,Sicce,60.99,'8011469995884,33.75
siccec-syncra-silent,,76.99,'8011469995785,44.42
seapora-rouleau-de-soie-filtrante,Seapora,11.99,'622841040405,5.86
seapora-rouleau-de-soie-filtrante,,18.99,'622841040412,10.86
seapora-sac-de-media-filtrant,Seapora,3.99,'628742020089,1.35
seapora-sac-de-media-filtrant,,5.99,'628742020072,1.82
seapora-sac-de-media-filtrant,,7.99,'628742020065,2.43
seapora-phos-pad,Seapora,12.99,'628742020034,6.86
seapora-poly-pad,Seapora,5.99,'628742020003,2.77
seapora-carbon-pad,Seapora,11.99,'628742020010,6.07
seachem-filtreur-tidal,Seachem,62.99,'000116065818,41.69
seachem-stability,Seachem,8.99,'000116012508,4.24
seachem-stability,,17.99,'000116008211,8.59
seachem-stability,,30.99,'000116012300,16.29
seachem-grattoir,Seachem,26.99,'000116032070,17.76
seachem-grattoir,,39.99,'000116032087,25.67
seachem-purigen,Seachem,18.99,'000116016506,10.12
seachem-purigen,,30.99,'000116016605,16.92
seachem-purigen,,52.99,'000116016308,30.5
seachem-purigen,,95.99,'000116016704,61.45
seachem-prime,Seachem,8.99,'000116043502,4.63
seachem-prime,,17.99,'000116008259,9.39
seachem-prime,,30.99,'000116043304,17.85
seachem-matrix,Seachem,13.99,'000116011303,6.89
seachem-flourish,,22.99,'000116051309,11.31
seachem-flourish-trace,Seachem,13.99,'000116074605,7.07
seachem-flourish-trace,,22.99,'000116074308,11.31
seachem-flourish-potassium,Seachem,13.99,'000116046602,7.07
seachem-flourish-potassium,,22.99,'000116046305,11.31
seachem-flourish-phosphorus,,22.99,'000116019309,11.31
seachem-flourish-iron,Seachem,13.99,'000116047609,7.07
seachem-flourish-iron,,22.99,'000116047302,11.31
seachem-flourish-excel,Seachem,13.99,'000116045605,7.07
seachem-flourish-excel,,22.99,'000116045308,11.31
seachem-flourish-advance,Seachem,16.99,'000116123600,8.49
seachem-flourish-advance,,26.99,'000116123303,13.55
seachem-equilibrium,Seachem,14.99,'000116044608,7.59
seachem-equilibrium,,24.99,'000116044301,13.13
seachem-algae-pad,Seachem,13.99,'000116032032,7.89
salifert-test-phosphate,Salifert,24.99,'8714079130361,13.38
salifert-test-nitrate,Salifert,21.99,'8714079130385,11.85
salifert-test-nitrite,Salifert,15.99,'8714079130378,8.09
salifert-test-ammoniac,Salifert,17.99,'8714079130477,9.54
salifert-test-ph-eau-douce,Salifert,9.99,'8714079150086,5.26
salifert-test-ammoniac-eau-douce,Salifert,13.99,'8714079150017,7.89
salifert-test-calcium,Salifert,23.99,'8714079130347,12.84
rowa-phos,,73.99,'4032974404108,39.59
red-sea-no3-po4-x,,50.99,'730773222049,29.06
red-sea-foundation-c-magnesium,Red Sea,28.99,'730773220335,16.52
red-sea-foundation-c-magnesium,,40.99,'730773220342,23.36
red-sea-foundation-c-magnesium-1kg,Red Sea,45.99,'730773220373,26.21
red-sea-foundation-a-calcium,Red Sea,28.99,'730773220144,16.52
red-sea-filter-bag-225-microns,Red Sea,15.99,'730773421961,10.71
red-sea-filter-bag-100-micron,Red Sea,15.99,'730773421954,10.71
red-sea-reef-spec-carbon,Red Sea,33.99,'730773374106,19.37
red-sea-reef-spec-carbon,,55.99,'730773374205,31.91
red-sea-aiptasia-x,Red Sea,29.99,'730773222315,16.81
polyp-lab-polyp-booster,Polyp Lab,29.99,'696859301889,19.6
polyp-lab-genesis-rock-avec-booster,Polyp Lab,56.99,'644216511723,37.7
northfin-marine,Northfin,10.99,'799975507460,4.86
northfin-kelp-wafers,Northfin,10.99,'799975507583,4.86
northfin-kelp-wafers,,16.99,'799975507576,8.49
new-life-spectrum-optimum-flakes,New Life Spectrum,13.99,'817987029258,6.94
new-life-spectrum-optimum-flakes,,21.99,'817987029265,10.96
ista-thermometre-digital-twin-display,ISTA,17.99,'4719859034055,9.93
hanna-checker-phosphate-lr,Hanna,69.99,HI713,48.95
hanna-checker-reagent-nitrate-hr,Hanna,24.99,BA000013693,18.99
hanna-checker-nitrate-hr,Hanna,69.99,BA000015464,48.95
hanna-checker-alcalinite,,69.99,BA000013695,48.95
hanna-checker-dkh-reagent,Hanna,16.99,HI755-26,11.95
fauna-marin-ready2reef,,31.99,'4260119459618,22.39
fauna-marin-balling-trace-3,Fauna Marin,20.99,'4260119450936,14.69
fauna-marin-balling-trace-3,,31.99,'4260119450967,22.39
fauna-marin-balling-trace-2,Fauna Marin,20.99,'4260119450929,14.69
fauna-marin-balling-trace-2,,31.99,'4260119450950,22.39
fauna-marin-balling-trace-1,Fauna Marin,20.99,'4260119450912,14.69
fauna-marin-balling-trace-1,,31.99,'4260119450943,22.39
fauna-marin-soft-multi-mix,Fauna Marin,23.99,'4260119452862,16.79
fauna-marin-rtn-stn-x,Fauna Marin,69.99,'4260119458352,48.99
fauna-marin-rtn-stn-x,,124.99,'4260119458369,64.99
fauna-marin-rebiotic,Fauna Marin,44.99,'4260119454408,31.49
fauna-marin-power-phos,Fauna Marin,30.99,'4260119450646,21.69
fauna-marin-power-phos,,42.99,'4260119450653,30.09
fauna-marin-phos-004,Fauna Marin,41.99,'4260119450684,29.39
fauna-marin-phos-004,,71.99,'4260119450691,50.39
fauna-marin-organic,Fauna Marin,27.99,'4260119450578,19.59
fauna-marin-organic,,52.99,'4260119450585,37.09
fauna-marin-min-s,Fauna Marin,31.99,'4260119450394,22.39
fauna-marin-min-s,,52.99,'4260119450400,37.09
fauna-marin-min-s,,79.99,'4260119450417,55.99
fauna-marin-food-energizer,Fauna Marin,26.99,'4260119450387,18.89
fauna-marin-dino-x,Fauna Marin,41.99,'4260119451094,29.39
fauna-marin-dino-x,,69.99,'4260119451100,48.99
fauna-marin-coral-vitality,Fauna Marin,54.99,'4260119452749,38.49
fauna-marin-coral-sprint,Fauna Marin,36.99,'4260119451001,25.89
fauna-marin-coral-sprint,,67.99,'4260119451018,47.59
fauna-marin-coral-dust,Fauna Marin,32.99,'4260119452558,23.09
fauna-marin-elements-de-couleur-bleu-violet,AquaZen,31.99,'4260119452602,
fauna-marin-element-de-couleur-rouge-mauve,Fauna Marin,31.99,'4260119452626,22.39
fauna-marin-element-de-couleur-vert-bleu,Fauna Marin,31.99,'4260119452619,22.39
fauna-marin-carb-l,Fauna Marin,26.99,'4260119452947,18.89
