Handle,,,Vendor,Product Category,Type,,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
aquario-neo-soil-plant-copy-1,,,Aquario,,Substrats,,TRUE,Size,3 L,,,,,,0,shopify,7,deny,manual,27.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/neoSoilBrown.jpg?v=1714922465,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
aquario-neo-soil-plant-copy-1,,,,,,,,,8 L,,,,,,0,shopify,3,deny,manual,63.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/WpFXcDr_bfe5364c-2172-4f5c-a869-9ba55a2bf29c.png?v=1714922465,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
aquario-neo-soil-plant-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/slideSec4-3_602826fc-d140-4062-beae-93d6afbead09.jpg?v=1714922465,3,,,,,,,,,,,,,,,,,,,,,,,,,,
aquario-neo-soil-plant-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/slideSec4-1_803f050d-32f2-4909-ad54-c3e20d090f49.jpg?v=1714922465,4,,,,,,,,,,,,,,,,,,,,,,,,,,
aquario-neo-soil-plant-copy,,,Aquario,,Substrats,,TRUE,Size,3 L,,,,,,0,shopify,8,deny,manual,33.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/neoSoil1mm.jpg?v=1714922393,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
aquario-neo-soil-plant-copy,,,,,,,,,8 L,,,,,,0,shopify,3,deny,manual,73.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/WpFXcDr_a5aef922-bf66-43c6-b967-341d0a2344bb.png?v=1714922393,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,
aquario-neo-soil-plant-copy,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/slideSec4-3_093f056b-f564-4f07-b815-fa5080e3304d.jpg?v=1714922393,3,,,,,,,,,,,,,,,,,,,,,,,,,,
aquario-neo-soil-plant-copy,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/slideSec4-1_27749f5c-5276-4423-9e04-57f26a4e6560.jpg?v=1714922393,4,,,,,,,,,,,,,,,,,,,,,,,,,,
zoo-med-aquatic-shrimp-crab-lobster-food-2-5-oz,,,AquaZen,,,,TRUE,Title,Default Title,,,,,,0,shopify,8,deny,manual,5.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/26249.jpg?v=1714759853,1,,FALSE,,,,,,,,,,,,,,,kg,,2.46,TRUE,,,TRUE,,,active
ruby-tetra-axelrodia-riesei,,,AquaZen,,Poisson,,TRUE,Title,Default Title,,,,,,0,shopify,50,deny,manual,4.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/RubyTetra.png?v=1714753608,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
discus-assorti-symphysodon-aequifasciata,,,AquaZen,,Poisson,,TRUE,Title,Default Title,,,,,,0,shopify,10,deny,manual,59.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/OM5CodR.png?v=1714752633,1,,FALSE,,,,,,,,,,,,,,,kg,,35,TRUE,,,TRUE,,,active
black-ram-mikrogeophagus-ramirezi,,,AquaZen,,Poisson,,TRUE,Title,Default Title,,,,,,0,shopify,45,deny,manual,38.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/black_ram1.jpg?v=1714751669,1,,FALSE,,,,,,,,,,,,,,,kg,,17.99,TRUE,,,TRUE,,,active
tropica-echinodorus-reni,,,Tropica,,,,TRUE,Title,Default Title,,,,,,0,shopify,4,deny,manual,16.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/2_31788ced-5286-4344-beda-a201fc5216d6.png?v=1714670635,1,,FALSE,,,,,,,,,,,,,,,kg,,8.77,TRUE,,,TRUE,,,active
tropica-echinodorus-reni,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/CXdWL7l.png?v=1714670646,2,,,,,,,,,,,,,,,,,,,,,,,,,,
tropica-cardamine-lyrata,,,Tropica,,Plante,,TRUE,Title,Default Title,,,,,,0,shopify,5,deny,manual,12.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/2_ab21873a-b601-48a3-9c5f-763233f0232e.png?v=1714668316,1,,FALSE,,,,,,,,,,,,,,,kg,,5.1,TRUE,,,TRUE,,,active
tropica-cardamine-lyrata,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8647/2767/files/gf5f9qr.png?v=1714668318,2,,,,,,,,,,,,,,,,,,,,,,,,,,
